age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
52,Local-gov,212989,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,-22,0,40,United-States,>50K
44,State-gov,111947,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,1,0,35,United-States,<=50K
37,Self-emp-not-inc,50918,Assoc-voc,11,Married-AF-spouse,Sales,Wife,White,Male,-36,1,36,United-States,<=50K
48,Private,156894,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,-18,-1,34,United-States,<=50K
24,Private,445599,11th,7,Never-married,Sales,Unmarried,White,Female,-15,0,23,El-Salvador,<=50K
39,Private,213753,Masters,14,Divorced,Exec-managerial,Wife,White,Female,-21,1,40,United-States,>50K
43,Self-emp-not-inc,306585,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,-11,0,50,United-States,<=50K
30,Private,154221,Some-college,10,Never-married,Other-service,Own-child,Black,Male,-17,-1,40,Scotland,<=50K
26,State-gov,426965,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,1539,0,40,United-States,<=50K
21,Private,182606,Doctorate,15,Never-married,Prof-specialty,Own-child,White,Male,1,0,36,Trinadad&Tobago,<=50K
41,Private,142982,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,-25,0,40,United-States,<=50K
29,Federal-gov,195910,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,38,0,44,United-States,>50K
42,Self-emp-not-inc,161343,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,-48,0,63,United-States,<=50K
18,Private,115609,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,2828,1,40,United-States,<=50K
19,Private,192946,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,-1,-1,40,United-States,<=50K
51,Self-emp-not-inc,272743,Masters,11,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,2,0,35,United-States,>50K
43,Private,90915,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,-13,0,40,United-States,>50K
32,Private,278360,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
40,Private,305291,5th-6th,3,Divorced,Adm-clerical,Not-in-family,White,Female,-27,0,40,Mexico,>50K
29,Private,56939,11th,7,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,-26,-1,40,Ireland,<=50K
59,Self-emp-not-inc,40567,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,-32,0,40,United-States,<=50K
46,Private,216862,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-23,1813,40,United-States,<=50K
40,Private,184140,12th,8,Never-married,Farming-fishing,Wife,Black,Female,3264,0,36,United-States,>50K
38,Private,102264,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,5,0,44,United-States,<=50K
22,Private,149301,HS-grad,9,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,-17,0,30,China,>50K
53,Private,208886,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,-9,0,40,United-States,<=50K
26,Private,115219,Assoc-acdm,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,-24,0,40,Ireland,<=50K
45,Private,32952,Prof-school,16,Married-civ-spouse,Prof-specialty,Husband,Other,Male,14845,0,40,United-States,>50K
43,State-gov,139173,9th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-17,-1,40,United-States,<=50K
42,Private,460763,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Other,Female,10,0,40,Hong,<=50K
48,Private,189633,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Male,-11,0,40,United-States,<=50K
48,Private,167718,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,-24,0,40,United-States,>50K
22,Private,260122,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,-40,0,40,United-States,<=50K
47,Self-emp-inc,36139,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Black,Male,32,0,60,United-States,>50K
43,Private,236023,HS-grad,9,Never-married,Sales,Own-child,Black,Male,23,0,49,United-States,<=50K
31,State-gov,233962,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,35,-1,40,United-States,>50K
41,Private,391221,7th-8th,4,Divorced,Prof-specialty,Unmarried,Other,Male,-15,0,40,United-States,<=50K
17,Private,313368,Preschool,2,Never-married,Farming-fishing,Own-child,White,Male,2723,-1,21,Germany,<=50K
43,State-gov,134760,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,14,-1,36,Philippines,>50K
20,Private,145839,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,-31,-1,40,United-States,<=50K
49,State-gov,343310,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,-10,-1,40,United-States,<=50K
39,Private,174472,HS-grad,9,Divorced,Adm-clerical,Other-relative,Black,Male,-15,0,29,India,<=50K
44,State-gov,263110,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,-9,1,40,United-States,>50K
63,?,310612,Some-college,10,Divorced,?,Not-in-family,White,Male,-29,0,40,United-States,<=50K
46,Private,107226,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-34,0,40,United-States,>50K
49,Self-emp-not-inc,185863,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7304,2053,40,United-States,>50K
46,Federal-gov,154705,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Male,14309,1,73,United-States,>50K
46,Self-emp-not-inc,87529,Assoc-acdm,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,-41,0,40,United-States,<=50K
38,State-gov,216261,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3220,1857,57,United-States,<=50K
39,Local-gov,29917,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,Black,Male,-27,-1,40,United-States,<=50K
59,Self-emp-inc,205160,11th,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7496,0,40,United-States,>50K
49,Federal-gov,150721,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-11,0,40,United-States,<=50K
45,Private,85894,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3237,0,40,United-States,<=50K
17,Private,166276,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,-13,0,40,Japan,<=50K
21,Private,57375,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Male,-37,0,45,United-States,<=50K
46,Private,41144,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,-16,-1,40,United-States,<=50K
40,?,71403,Bachelors,13,Divorced,?,Unmarried,Amer-Indian-Eskimo,Male,-23,0,30,United-States,<=50K
40,?,222448,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,Female,-20,1,30,United-States,<=50K
43,Private,354726,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-27,1,40,United-States,<=50K
23,Private,429788,Some-college,16,Never-married,Adm-clerical,Own-child,White,Male,-11,0,30,United-States,<=50K
60,?,170034,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,2683,-1,40,United-States,<=50K
54,Self-emp-not-inc,349420,Some-college,10,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,-30,0,63,United-States,<=50K
42,Private,188368,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,>50K
28,Private,84162,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,-15,0,30,China,<=50K
39,Private,211934,12th,13,Married-civ-spouse,Sales,Other-relative,Black,Male,-14,0,40,Portugal,>50K
31,Private,258367,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-6,0,40,Poland,<=50K
66,?,113016,HS-grad,9,Widowed,?,Not-in-family,White,Female,-6,-1,13,United-States,<=50K
55,Private,359192,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,14719,0,19,United-States,<=50K
64,?,203666,Assoc-acdm,12,Divorced,?,Not-in-family,White,Male,15,1,40,United-States,<=50K
43,Private,91658,1st-4th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-21,0,40,United-States,<=50K
48,Private,192869,Bachelors,11,Married-civ-spouse,Craft-repair,Wife,White,Male,-1,0,40,United-States,>50K
47,Private,185645,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-40,-1,40,United-States,<=50K
57,Self-emp-not-inc,319982,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,5,-1,40,Haiti,<=50K
23,Private,123687,11th,8,Never-married,Tech-support,Own-child,White,Female,-27,0,24,United-States,<=50K
19,Private,171328,HS-grad,9,Never-married,Other-service,Own-child,White,Male,7,0,24,United-States,<=50K
25,Private,59598,Bachelors,13,Never-married,Adm-clerical,Unmarried,Black,Female,6,1,44,United-States,<=50K
15,Private,50269,11th,8,Never-married,Handlers-cleaners,Own-child,Black,Female,-18,0,22,United-States,<=50K
44,State-gov,157584,Some-college,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,-9,0,57,United-States,>50K
36,Private,121973,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,-30,0,40,United-States,<=50K
33,Private,205926,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,-24,-1,40,United-States,<=50K
27,Private,73996,Bachelors,13,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,-9,0,40,Philippines,<=50K
46,Private,36064,Bachelors,5,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,40,Peru,>50K
24,Private,309433,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,-11,0,20,United-States,<=50K
42,Private,447577,Bachelors,4,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,2373,0,40,Guatemala,<=50K
39,Private,41850,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4,0,49,United-States,>50K
42,Private,117002,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,-34,0,40,United-States,<=50K
50,Private,236027,7th-8th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,-8,1,40,Mexico,<=50K
35,?,81863,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,3592,-1,40,United-States,<=50K
45,Local-gov,147842,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,-5,0,40,United-States,<=50K
65,Private,181502,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-35,-1,40,Ecuador,<=50K
62,Self-emp-inc,21899,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,1,60,United-States,>50K
38,Private,145256,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-15,0,40,?,<=50K
25,Private,162063,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-26,0,40,United-States,<=50K
44,Private,155383,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,-3,-1,36,United-States,<=50K
37,Private,43624,12th,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,13,0,7,United-States,>50K
20,Private,343984,HS-grad,9,Never-married,Priv-house-serv,Own-child,White,Female,-26,0,30,United-States,<=50K
23,Private,478154,Some-college,10,Married-AF-spouse,Adm-clerical,Not-in-family,White,Female,-10,-1,29,United-States,<=50K
44,Private,296216,9th,5,Married-civ-spouse,Adm-clerical,Wife,Black,Female,2,0,40,United-States,<=50K
45,Private,62284,11th,10,Divorced,Adm-clerical,Unmarried,White,Female,-36,-1,40,United-States,<=50K
17,Private,39700,HS-grad,9,Never-married,?,Own-child,White,Male,16,-1,20,United-States,<=50K
35,Private,124675,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,0,40,United-States,>50K
27,Private,344899,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,3204,0,40,United-States,<=50K
63,Self-emp-inc,98504,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,3653,0,49,United-States,>50K
46,Private,62679,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,14,-1,40,Italy,>50K
23,Local-gov,194902,9th,7,Never-married,Adm-clerical,Other-relative,Black,Male,-15,-1,40,United-States,<=50K
38,Private,416138,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,Black,Male,-37,0,45,United-States,<=50K
48,Private,217403,Assoc-voc,13,Married-civ-spouse,Armed-Forces,Husband,White,Male,-17,0,40,United-States,>50K
26,Private,89403,HS-grad,7,Married-spouse-absent,Machine-op-inspct,Husband,Black,Male,-25,-1,40,Cambodia,<=50K
23,Private,378060,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,3226,0,30,United-States,<=50K
41,Private,181488,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,-10,0,40,United-States,>50K
26,Private,125500,Assoc-acdm,13,Never-married,Other-service,Other-relative,White,Male,-35,0,68,United-States,<=50K
46,Private,41445,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,-20,1,67,United-States,<=50K
52,Private,82922,HS-grad,9,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,-7,-1,29,Philippines,<=50K
41,Private,303229,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-23,0,40,United-States,<=50K
30,Self-emp-not-inc,78594,7th-8th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,-23,-1,40,United-States,<=50K
46,Private,328867,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,-8,0,40,Laos,<=50K
24,State-gov,204735,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,-53,1,35,United-States,<=50K
41,Private,350557,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,-13,0,40,?,<=50K
43,Federal-gov,116625,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,0,44,United-States,>50K
47,Local-gov,303123,Some-college,10,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,-4,0,40,United-States,<=50K
23,Private,224614,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,-6,-1,40,Jamaica,<=50K
41,Private,28126,Preschool,2,Never-married,Farming-fishing,Unmarried,White,Male,-10,-1,40,Mexico,<=50K
38,Self-emp-not-inc,36887,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,-2,0,40,United-States,<=50K
40,Private,203650,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,-7,0,40,United-States,<=50K
17,Private,246622,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,3775,0,40,United-States,<=50K
37,Federal-gov,81277,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,-7,0,35,?,<=50K
32,Private,203430,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,12,1,44,Canada,<=50K
33,Without-pay,84810,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,-2,0,37,United-States,<=50K
42,Private,58653,9th,5,Never-married,Farming-fishing,Other-relative,White,Male,-18,0,40,Portugal,<=50K
48,Private,351011,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-25,0,50,United-States,<=50K
46,Private,217829,5th-6th,3,Married-civ-spouse,Adm-clerical,Own-child,White,Male,-11,1,40,Iran,<=50K
40,Federal-gov,327154,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,11,0,59,United-States,>50K
43,State-gov,111869,Some-college,10,Separated,Protective-serv,Not-in-family,Black,Male,-43,0,40,United-States,<=50K
48,Self-emp-not-inc,71998,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-41,0,49,Iran,<=50K
18,?,159383,11th,7,Divorced,?,Own-child,White,Male,-45,-1,21,United-States,<=50K
61,Self-emp-not-inc,280729,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-24,-1,58,United-States,<=50K
66,Private,261291,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,-24,-1,40,Portugal,<=50K
43,State-gov,181663,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3302,-1,40,United-States,>50K
39,State-gov,185405,Assoc-acdm,13,Married-AF-spouse,Tech-support,Wife,White,Female,3501,0,30,United-States,>50K
47,Self-emp-not-inc,352403,HS-grad,9,Never-married,Sales,Own-child,Black,Female,8,1,44,United-States,<=50K
26,Private,237333,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14290,1,40,United-States,>50K
57,Private,285067,HS-grad,9,Widowed,Adm-clerical,Own-child,Black,Female,23,-1,21,United-States,<=50K
30,Private,198512,HS-grad,9,Never-married,Tech-support,Own-child,White,Female,-8,0,19,United-States,<=50K
35,Private,47366,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,-43,0,30,United-States,<=50K
32,Local-gov,345039,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,-29,0,30,?,<=50K
30,Self-emp-not-inc,158184,Masters,16,Never-married,Prof-specialty,Not-in-family,White,Male,15274,-1,68,Haiti,>50K
25,Private,41114,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,-36,0,59,United-States,<=50K
48,Private,192955,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,-9,-1,40,United-States,<=50K
53,Private,161675,Bachelors,13,Married-spouse-absent,Exec-managerial,Wife,Asian-Pac-Islander,Female,-6,0,40,India,<=50K
18,Private,286382,Some-college,10,Never-married,Other-service,Other-relative,White,Female,-24,0,40,Mexico,<=50K
45,Private,141053,HS-grad,9,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Male,-10,0,44,United-States,<=50K
24,Private,187828,Some-college,10,Never-married,Tech-support,Own-child,White,Male,-4,0,50,United-States,<=50K
27,Local-gov,154497,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,-19,0,40,United-States,<=50K
25,Private,32850,Assoc-voc,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-8,0,40,Germany,>50K
19,Private,293964,Bachelors,13,Never-married,Craft-repair,Own-child,Black,Male,-16,-1,40,United-States,<=50K
69,Private,67780,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,5,0,57,United-States,<=50K
43,Self-emp-not-inc,88076,HS-grad,14,Divorced,Exec-managerial,Not-in-family,White,Male,-6,0,63,United-States,>50K
17,Private,77666,11th,7,Never-married,Sales,Own-child,White,Female,-9,0,19,United-States,<=50K
22,Local-gov,202084,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,-16,-1,40,United-States,<=50K
52,Private,429173,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,18,-1,40,South,>50K
49,Private,235981,1st-4th,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,-6,-1,40,?,>50K
64,Private,422656,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,-29,0,40,El-Salvador,<=50K
60,Private,105829,Some-college,10,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,-30,0,40,United-States,<=50K
30,Private,191918,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,-14,0,49,United-States,<=50K
48,Private,503215,5th-6th,3,Married-civ-spouse,Transport-moving,Not-in-family,Black,Male,5,0,40,Mexico,<=50K
28,Local-gov,211743,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,-15,0,30,United-States,<=50K
21,Private,254087,11th,4,Widowed,Handlers-cleaners,Not-in-family,White,Male,-8,0,29,Puerto-Rico,<=50K
46,Private,128516,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-27,0,40,Dominican-Republic,<=50K
19,Self-emp-inc,175370,Some-college,10,Never-married,Sales,Own-child,White,Male,-24,-1,21,United-States,<=50K
33,Private,104835,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,-7,0,40,United-States,<=50K
75,Private,94848,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,-18,0,21,Peru,<=50K
39,Private,185526,HS-grad,9,Never-married,Other-service,Own-child,Other,Female,-35,0,30,United-States,<=50K
61,?,98468,Assoc-acdm,13,Married-spouse-absent,?,Not-in-family,White,Male,-25,0,8,United-States,<=50K
56,Self-emp-not-inc,21878,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15379,0,56,United-States,>50K
49,Private,77616,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,>50K
