age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_binned,conditioned_on,capital-gain_binned,hours-per-week_binned,education-num_binned,capital-loss_binned
39,Self-emp-inc,193292,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-17,-1,29,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,109731,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-19,0,55,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,197005,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Other,Male,-16,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,179310,1st-4th,2,Divorced,Farming-fishing,Not-in-family,White,Male,12,0,40,Mexico,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,93133,Some-college,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,-26,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,340376,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Other,Female,1,0,34,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,46004,Assoc-acdm,13,Never-married,Farming-fishing,Own-child,White,Male,-22,-1,36,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,322805,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,3,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,266972,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,-5,-1,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,31693,9th,11,Married-civ-spouse,Transport-moving,Husband,White,Male,-17,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,97262,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,32188,Masters,10,Never-married,Prof-specialty,Own-child,White,Male,-16,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,56395,HS-grad,9,Never-married,?,Unmarried,Black,Female,-21,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,86526,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-7,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,?,29273,Some-college,10,Divorced,?,Not-in-family,White,Male,-16,0,30,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,347361,HS-grad,9,Married-spouse-absent,Other-service,Other-relative,White,Female,8,0,40,Trinadad&Tobago,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,196197,Some-college,10,Never-married,Exec-managerial,Other-relative,Black,Male,-13,0,40,Philippines,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,65580,7th-8th,4,Divorced,Farming-fishing,Not-in-family,White,Female,-5,0,31,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,State-gov,140917,Some-college,10,Separated,Adm-clerical,Own-child,White,Female,-32,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-inc,94519,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,7318,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,35905,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-18,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,254438,Prof-school,16,Married-civ-spouse,Prof-specialty,Wife,Other,Male,15066,0,67,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,161562,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,-2,0,14,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,174891,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,-7,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,93853,Assoc-acdm,6,Divorced,Adm-clerical,Unmarried,White,Female,2722,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,179805,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,-8,0,36,Canada,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,114362,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,-6,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,231651,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,-3,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,174964,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Male,3576,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,215138,Bachelors,14,Never-married,Prof-specialty,Unmarried,White,Female,3127,0,45,Nicaragua,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,92169,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,-2,0,21,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,?,18509,Assoc-acdm,13,Never-married,Adm-clerical,Not-in-family,White,Female,4,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,196184,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,-21,-1,40,?,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,284864,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,-32,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,297296,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6,0,40,Italy,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,130392,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,-46,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,119229,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,-8,0,64,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-inc,179147,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,7989,0,45,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,126002,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,-16,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,261810,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,-17,0,55,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,118820,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,1,0,40,China,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,157224,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7315,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,274644,Masters,14,Married-civ-spouse,Adm-clerical,Husband,Other,Male,-55,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,426606,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,-16,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,139397,Assoc-voc,16,Married-civ-spouse,Exec-managerial,Wife,White,Male,9,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,401234,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-15,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,237563,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,-26,0,36,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-inc,98957,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7587,0,45,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,287485,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,-7,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,216604,9th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,4,0,40,Yugoslavia,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,186557,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,-7,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,209980,Assoc-acdm,13,Separated,Adm-clerical,Unmarried,Black,Female,-32,0,36,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,246620,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,15,-1,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,96446,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,5,1,35,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,317886,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Male,-11,0,40,Guatemala,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,138293,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,14117,0,50,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,368679,HS-grad,9,Never-married,Tech-support,Unmarried,White,Female,3,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,197778,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,-21,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,State-gov,205665,HS-grad,9,Married-civ-spouse,Farming-fishing,Own-child,White,Male,-4,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,127305,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,-25,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,159109,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-26,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,195228,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,1,0,40,Haiti,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,338690,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3563,0,49,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,87402,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,-25,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,124737,Some-college,10,Never-married,Sales,Not-in-family,White,Male,-1,0,40,?,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,268486,9th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,-7,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,135135,HS-grad,9,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,-3,0,56,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,321186,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,-14,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,365308,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,380538,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,-4,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,249474,7th-8th,16,Married-civ-spouse,Protective-serv,Husband,White,Male,-9,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,109062,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,1,0,31,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,396279,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,3083,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,290662,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,-21,2023,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,190729,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,-15,0,29,Taiwan,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,182729,10th,4,Separated,Craft-repair,Unmarried,White,Male,-12,0,64,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,216792,HS-grad,9,Never-married,Sales,Own-child,White,Female,-43,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,81634,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2,-1,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,135914,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,-15,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,172153,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-19,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,156044,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,257995,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,57,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,71101,Bachelors,13,Married-spouse-absent,Sales,Own-child,Black,Female,-23,-1,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,146025,HS-grad,9,Married-civ-spouse,Sales,Husband,Other,Male,-13,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,243688,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Male,-11,-1,44,Canada,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,224661,Some-college,10,Never-married,Tech-support,Own-child,White,Male,7416,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,169353,Bachelors,9,Never-married,Exec-managerial,Unmarried,White,Female,3,1,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,282645,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,1,71,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,240382,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-46,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,59911,Assoc-voc,7,Married-spouse-absent,Priv-house-serv,Unmarried,White,Female,-33,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,129315,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Male,-23,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,99260,5th-6th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,-46,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,98828,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,118349,Prof-school,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6,0,56,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,309879,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,-26,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,100447,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,-7,0,49,Italy,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,92484,Bachelors,13,Married-AF-spouse,Adm-clerical,Wife,White,Female,14164,-1,9,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,306882,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Male,-9,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,113403,Bachelors,13,Married-spouse-absent,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,-2,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,128878,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-9,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,82452,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,-28,-1,77,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,267514,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,-21,-1,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,210085,10th,6,Never-married,Sales,Own-child,White,Male,0,0,44,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,244701,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Female,2666,1888,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,146051,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Male,-16,0,10,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,36708,Bachelors,13,Divorced,Sales,Own-child,White,Male,-6,-1,19,Poland,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,168792,Some-college,9,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,-17,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,148395,Doctorate,5,Separated,Prof-specialty,Unmarried,White,Female,-13,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,232964,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,-5,-1,49,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,257481,HS-grad,9,Never-married,?,Not-in-family,Black,Female,-10,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,35923,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,-32,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,41216,11th,7,Never-married,Protective-serv,Unmarried,Black,Female,-24,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,373715,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,2,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,153845,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,11,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,193891,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,-20,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,235527,Bachelors,10,Separated,Adm-clerical,Unmarried,White,Female,-2,0,45,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
